id,focus,signal,slack,drag,confidence,score,lane
l001,dirty state,35,33,6,25,162,watch
l002,guard slack,35,34,6,55,224,ship
l003,layout drift,35,35,6,85,286,ship
l004,allocation pressure,35,36,18,25,120,hold
l005,dirty state,35,37,18,55,182,ship
l006,guard slack,35,38,18,85,244,ship
l007,layout drift,35,39,34,25,62,hold
l008,allocation pressure,35,40,34,55,124,hold
l009,dirty state,35,41,34,85,186,ship
l010,guard slack,60,42,6,25,230,ship
l011,layout drift,60,43,6,55,292,ship
l012,allocation pressure,60,44,6,85,354,ship
l013,dirty state,60,45,18,25,188,ship
l014,guard slack,60,46,18,55,250,ship
l015,layout drift,60,47,18,85,312,ship
l016,allocation pressure,60,48,34,25,130,watch
l017,dirty state,60,32,34,55,158,watch
l018,guard slack,60,33,34,85,220,ship
l019,layout drift,85,34,6,25,264,ship
l020,allocation pressure,85,35,6,55,326,ship
l021,dirty state,85,36,6,85,388,ship
l022,guard slack,85,37,18,25,222,ship
l023,layout drift,85,38,18,55,284,ship
l024,allocation pressure,85,39,18,85,346,ship
l025,dirty state,85,40,34,25,164,watch
l026,guard slack,85,41,34,55,226,ship
l027,layout drift,85,42,34,85,288,ship
